Filename,Average,P1,P2,P3
AF1.jpg,2.333333,2,3,2
AF10.jpg,3.433333,4,3,3
AF100.jpg,2.9,3,3,3
AF1000.jpg,3.966667,4,5,4
AF1001.jpg,3.733333,5,5,4
AF1002.jpg,2.616667,2,3,3
AF1003.jpg,2.866667,3,3,3
AF1004.jpg,3.3,3,3,3
AF1005.jpg,2.216667,2,3,1
AF1006.jpg,3.45,3,3,3
AF1007.jpg,2.7,2,3,3
AF1008.jpg,2.783333,2,3,1
AF1009.jpg,3.866667,3,3,4
AF101.jpg,2.35,2,3,2
AF1010.jpg,2.583333,2,3,2
AF1011.jpg,3.1,3,3,2
AF1012.jpg,2.766667,3,3,3
AF1013.jpg,3.816667,5,4,5
AF1014.jpg,4.316667,4,4,5
AF1015.jpg,3.683333,4,3,4
AF1016.jpg,3.816667,4,4,4
AF1017.jpg,3.5,4,4,5
AF1018.jpg,3.316667,3,3,5
AF1019.jpg,2.083333,1,3,1
AF102.jpg,2.8,3,3,2
AF1020.jpg,2.866667,3,3,3
AF1021.jpg,2.933333,3,3,3
AF1022.jpg,3.766667,3,3,4
AF1023.jpg,3.4,3,3,5
AF1024.jpg,3.366667,2,3,4
AF1025.jpg,1.866667,1,3,1
AF1026.jpg,3.65,3,4,4
AF1027.jpg,3.983333,4,4,5
AF1028.jpg,2.133333,1,3,1
AF1029.jpg,3.95,3,3,4
AF103.jpg,2.6,2,3,2
AF1030.jpg,2.316667,2,3,2
AF1031.jpg,4.033333,5,5,3
AF1032.jpg,3.316667,4,3,4
AF1033.jpg,2.266667,2,3,2
AF1034.jpg,3.05,4,3,4
AF1035.jpg,3.516667,3,3,4
AF1036.jpg,2.75,2,3,3
AF1037.jpg,2,1,3,1
AF1038.jpg,2.65,3,3,3
AF1039.jpg,4.2,5,5,5
AF104.jpg,2.833333,3,3,3
AF1040.jpg,2.233333,2,3,1
AF1041.jpg,2.383333,1,3,2
AF1042.jpg,3.116667,2,3,3
AF1043.jpg,2.516667,1,3,1
AF1044.jpg,2.983333,3,3,4
AF1045.jpg,3.816667,4,5,4
AF1046.jpg,2.283333,2,3,1
AF1047.jpg,3.65,3,3,5
AF1048.jpg,3.15,3,4,3
AF1049.jpg,2.95,3,3,3
AF105.jpg,4.033333,4,4,4
AF1050.jpg,3.183333,3,3,4
AF1051.jpg,2.7,3,3,2
AF1052.jpg,2.783333,3,3,3
AF1053.jpg,2.666667,2,3,3
AF1054.jpg,3.216667,3,3,4
AF1055.jpg,3.45,3,3,3
AF1056.jpg,4.216667,4,4,5
AF1057.jpg,3.15,3,3,3
AF1058.jpg,3.783333,5,4,5
AF1059.jpg,3.033333,3,3,3
