X1,X2,Preference,Pair
"[0.925691317897426 0.129375683541084 0.471046537458914 0.112242882025517
 0.546186077 6.62615771311493 0.03787807067971 0.0357823459869566 0.9178
 0.9397]","[0.769839892322839 0.316532912947834 0.512238884125079 0.14942859314108
 -0.198293501 6.93659534744594 0.0193388809535848 0.0784632023797485
 0.8739 0.9201]",-1.0,"1.jpg,116.jpg"
"[0.925691317897426 0.129375683541084 0.471046537458914 0.112242882025517
 0.546186077 6.62615771311493 0.03787807067971 0.0357823459869566 0.9178
 0.9397]","[1.16726744586257 0.179925837970603 0.516776990450359 0.265619610605008
 0.115205713 7.75635184174599 0.0327890207086524 0.0868630626246809 0.769
 0.8985]",-1.0,"1.jpg,16.jpg"
"[0.925691317897426 0.129375683541084 0.471046537458914 0.112242882025517
 0.546186077 6.62615771311493 0.03787807067971 0.0357823459869566 0.9178
 0.9397]","[0.189372466130689 0.207217408006977 0.414637353721329 0.286069438466308
 -0.770859436 7.22628049966488 0.0204036462549587 0.081663020411708 0.7085
 0.7877]",-1.0,"1.jpg,213.jpg"
"[0.925691317897426 0.129375683541084 0.471046537458914 0.112242882025517
 0.546186077 6.62615771311493 0.03787807067971 0.0357823459869566 0.9178
 0.9397]","[0.743392366411157 0.158134761831354 0.396734355317886 0.25913972090332
 -0.129243769 7.2635055732462 0.0363470266299115 0.0732383900367552 0.7672
 0.8773]",-1.0,"1.jpg,127.jpg"
"[1.55626976326122 0.0980450189569158 0.299672774027644 0.0774536729760738
 0.516717186 6.30409724250593 0.0330706067042802 0.0546002266290531 0.9341
 0.951]","[0.769839892322839 0.316532912947834 0.512238884125079 0.14942859314108
 -0.198293501 6.93659534744594 0.0193388809535848 0.0784632023797485
 0.8739 0.9201]",-1.0,"2.jpg,116.jpg"
"[1.55626976326122 0.0980450189569158 0.299672774027644 0.0774536729760738
 0.516717186 6.30409724250593 0.0330706067042802 0.0546002266290531 0.9341
 0.951]","[1.16726744586257 0.179925837970603 0.516776990450359 0.265619610605008
 0.115205713 7.75635184174599 0.0327890207086524 0.0868630626246809 0.769
 0.8985]",-1.0,"2.jpg,16.jpg"
"[1.55626976326122 0.0980450189569158 0.299672774027644 0.0774536729760738
 0.516717186 6.30409724250593 0.0330706067042802 0.0546002266290531 0.9341
 0.951]","[0.189372466130689 0.207217408006977 0.414637353721329 0.286069438466308
 -0.770859436 7.22628049966488 0.0204036462549587 0.081663020411708 0.7085
 0.7877]",-1.0,"2.jpg,213.jpg"
"[1.55626976326122 0.0980450189569158 0.299672774027644 0.0774536729760738
 0.516717186 6.30409724250593 0.0330706067042802 0.0546002266290531 0.9341
 0.951]","[0.743392366411157 0.158134761831354 0.396734355317886 0.25913972090332
 -0.129243769 7.2635055732462 0.0363470266299115 0.0732383900367552 0.7672
 0.8773]",-1.0,"2.jpg,127.jpg"
"[0.0486714933229024 0.0383802720715256 0.61448648591512 0.0868046745783499
 -0.115383623 6.07488825986917 0.0158879404830918 0.0727953928502415
 0.9873 0.9909]","[0.769839892322839 0.316532912947834 0.512238884125079 0.14942859314108
 -0.198293501 6.93659534744594 0.0193388809535848 0.0784632023797485
 0.8739 0.9201]",-1.0,"3.jpg,116.jpg"
"[0.0486714933229024 0.0383802720715256 0.61448648591512 0.0868046745783499
 -0.115383623 6.07488825986917 0.0158879404830918 0.0727953928502415
 0.9873 0.9909]","[1.16726744586257 0.179925837970603 0.516776990450359 0.265619610605008
 0.115205713 7.75635184174599 0.0327890207086524 0.0868630626246809 0.769
 0.8985]",-1.0,"3.jpg,16.jpg"
