phase,method_id,dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,within,4,regression,,0,140,20,78,0,0,780,27,7,0.6410256410256411,1.9584789276123047,5.675111293792725,-0.11375052084959614,0.3866312518584891,0.38018931643941756,0.28294177984214675
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,within,4,regression,,1,140,20,78,0,0,780,25,4,0.6666666666666666,2.0089268684387207,5.77709436416626,-0.06106682693771304,0.47684158070842386,0.43429417562612593,0.31474467706423265
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,within,4,regression,,2,140,20,78,0,0,780,25,5,0.6576923076923077,1.5479594469070435,4.505561828613281,0.06863811581475421,0.4783309501981421,0.4641494084452804,0.35083925012205747
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,within,4,regression,,3,140,20,78,0,0,780,56,36,0.7012820512820512,1.5224636793136597,3.469839572906494,0.18154124422567397,0.49798133926015,0.5151519371076974,0.37863549792368545
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,within,4,regression,,4,140,20,78,0,0,780,25,3,0.5384615384615384,2.9255831241607666,11.788663864135742,-1.248839706954055,0.0657536131066081,0.06873337004167998,0.05708518945443845
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,within,4,regression,,5,140,20,78,0,0,780,66,46,0.6807692307692308,1.80446195602417,4.262101173400879,0.2723678978940599,0.5286588669914636,0.5159049377958558,0.36477111280028424
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,within,4,regression,,6,140,20,78,0,0,780,27,7,0.6782051282051282,1.8513373136520386,4.516589641571045,0.11120314135498921,0.37909995505106053,0.3976678390057875,0.2833703863892134
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,within,4,regression,,7,140,20,78,0,0,780,63,43,0.6833333333333333,1.7155495882034302,4.5064239501953125,0.13415180459973697,0.4733025197783718,0.4326700228785922,0.3205981677558908
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,within,4,regression,,8,140,20,78,0,0,780,34,14,0.6397435897435897,1.7743157148361206,4.497106552124023,0.13569637620975872,0.46755468739866046,0.4151544566928558,0.3072294034309212
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,within,4,regression,,9,140,20,78,0,0,780,27,7,0.6025641025641025,2.002795934677124,5.8831658363342285,-0.2949307607866847,0.33143543302139733,0.2777804590658731,0.20077203731793553
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,within,4,hinge,1,0,140,20,78,140,20,780,31,11,0.6307692307692307,1.8131064176559448,4.577833652496338,0.10159210119769979,0.331958272610791,0.3261471881649841,0.23853066503148068
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,within,4,hinge,1,1,140,20,78,140,20,780,25,1,0.6743589743589744,1.9018237590789795,4.890158176422119,0.10183486295005029,0.47734952536120545,0.4377880536435854,0.31763224290885855
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,within,4,hinge,1,2,140,20,78,140,20,780,38,18,0.7346153846153847,1.6762804985046387,4.300859451293945,0.11095312017628356,0.5281202784972265,0.565625084540195,0.43096920231042857
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,within,4,hinge,1,3,140,20,78,140,20,780,50,30,0.6256410256410256,1.8114373683929443,5.466363430023193,-0.2893946806030858,0.3020889833983347,0.31806545334756925,0.2283265100900863
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,within,4,hinge,1,4,140,20,78,140,20,780,25,1,0.632051282051282,1.7846240997314453,4.763655662536621,0.09127139169404308,0.3795406589488266,0.41581387534701597,0.29256159595399706
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,within,4,hinge,1,5,140,20,78,140,20,780,41,21,0.6730769230769231,1.9569257497787476,5.195300579071045,0.11305074691303818,0.34894616050223703,0.3993397326000493,0.30338106250512875
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,within,4,hinge,1,6,140,20,78,140,20,780,62,42,0.6974358974358974,1.7497353553771973,4.522825241088867,0.10997603630106945,0.4971410942089278,0.49067308332465837,0.368164082572175
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,within,4,hinge,1,7,140,20,78,140,20,780,31,11,0.6602564102564102,1.980350375175476,5.397563934326172,-0.03706851320013427,0.4141158349757461,0.3799699835424454,0.2685506636331757
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,within,4,hinge,1,8,140,20,78,140,20,780,35,15,0.6076923076923076,1.8904354572296143,5.346603870391846,-0.02756938697444755,0.36723824735963717,0.32759563322409946,0.23464421104139363
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,within,4,hinge,1,9,140,20,78,140,20,780,28,8,0.6461538461538462,1.7904891967773438,4.753096580505371,-0.04619383972265756,0.3430971000707359,0.3305896521055881,0.2533981009596206
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,within,4,hinge,2,0,140,20,78,280,40,780,25,3,0.6525641025641026,1.7377643585205078,4.644649505615234,0.08847956018645997,0.3669642473978456,0.3791909066797288,0.27219715529117916
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,within,4,hinge,2,1,140,20,78,280,40,780,54,34,0.6641025641025641,1.8746036291122437,5.131682872772217,0.057474542856304156,0.4305765867684386,0.42347856793972555,0.3096914368361371
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,within,4,hinge,2,2,140,20,78,280,40,780,25,1,0.691025641025641,1.743181824684143,4.480876922607422,0.07374114800487108,0.5115507426817203,0.49837287991215634,0.37105221103443936
