phase,method_id,dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,cross,3,regression,,0,140,20,78,0,0,780,25,3,0.6794871794871795,1.318782925605774,2.328840494155884,0.13689906940128393,0.417849556371948,0.44953715781767345,0.3278903241251895
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,cross,3,regression,,1,140,20,78,0,0,780,25,5,0.7269230769230769,1.681252121925354,4.006937026977539,-0.5417531762386101,0.5703001852107263,0.5542410548443073,0.42156350404112325
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,cross,3,regression,,2,140,20,78,0,0,780,28,8,0.732051282051282,2.357579469680786,7.039382457733154,-1.8968888448267194,0.601448578399868,0.5839141580199515,0.4433247680498495
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,cross,3,regression,,3,140,20,78,0,0,780,25,2,0.6307692307692307,1.3028755187988281,2.6356184482574463,0.0077286425952463045,0.36407375759722527,0.32717150631318953,0.2500667306859104
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,cross,3,regression,,4,140,20,78,0,0,780,27,7,0.6397435897435897,3.2058515548706055,12.073288917541504,-4.78149439078005,0.37359085874402354,0.31615908608506493,0.24005399056339816
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,cross,3,regression,,5,140,20,78,0,0,780,65,45,0.7346153846153847,1.9219869375228882,5.3090901374816895,-1.1267123050466994,0.5342013016197598,0.5404224083943193,0.4018133806045847
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,cross,3,regression,,6,140,20,78,0,0,780,97,77,0.6884615384615385,2.223989963531494,6.911065578460693,-1.9752984824563025,0.42592090446851216,0.44312086470886347,0.32676527639695546
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,cross,3,regression,,7,140,20,78,0,0,780,25,2,0.6653846153846154,3.868284225463867,17.03514289855957,-6.272088245119062,0.3957936405968212,0.38046415311211623,0.28875047742912546
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,cross,3,regression,,8,140,20,78,0,0,780,32,12,0.6346153846153846,2.0966808795928955,5.882775783538818,-1.7396517092992094,0.37207799378666095,0.36558222919784106,0.2667003716607884
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,cross,3,regression,,9,140,20,78,0,0,780,54,34,0.6948717948717948,2.273129463195801,6.712613582611084,-1.7744252818750148,0.5454449498574832,0.504016578035573,0.3742277366198734
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,cross,3,hinge,1,0,140,20,78,140,20,780,49,29,0.6923076923076923,2.250988006591797,7.029921531677246,-1.6053871995540883,0.46320653436123393,0.4506157696391104,0.34315794453900095
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,cross,3,hinge,1,1,140,20,78,140,20,780,26,6,0.6794871794871795,2.4042768478393555,7.68964958190918,-1.958754905740327,0.4637158378754975,0.4595085534375924,0.3376884124066437
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,cross,3,hinge,1,2,140,20,78,140,20,780,25,2,0.6833333333333333,2.1829731464385986,6.720279693603516,-1.7655692611099525,0.4726354924205225,0.4425097113970774,0.3256408642476636
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,cross,3,hinge,1,3,140,20,78,140,20,780,25,2,0.6064102564102564,2.4357783794403076,8.299293518066406,-2.124561018134725,0.3891844597092131,0.3571480878282908,0.26318976611549166
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,cross,3,hinge,1,4,140,20,78,140,20,780,25,1,0.6051282051282051,2.383667230606079,7.415050029754639,-2.5508199190624175,0.3314949896530379,0.2833211193927288,0.20907928210360482
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,cross,3,hinge,1,5,140,20,78,140,20,780,49,29,0.6153846153846154,2.04374098777771,6.100944519042969,-1.4439125563457136,0.3173537434429363,0.321569509503275,0.2315472540287607
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,cross,3,hinge,1,6,140,20,78,140,20,780,45,25,0.691025641025641,2.389369249343872,7.538244724273682,-2.245306878089574,0.49562325261649676,0.47756351121638396,0.35603876140452145
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,cross,3,hinge,1,7,140,20,78,140,20,780,25,2,0.6064102564102564,2.5275020599365234,8.29307746887207,-2.5402106508827376,0.23355633272149134,0.21213907186189065,0.16489557721206402
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,cross,3,hinge,1,8,140,20,78,140,20,780,34,14,0.6025641025641025,2.081737756729126,5.945706367492676,-1.7689588657171953,0.3086733056625235,0.25361686082490803,0.18713230497745925
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,cross,3,hinge,1,9,140,20,78,140,20,780,25,3,0.6346153846153846,2.0368473529815674,5.949084758758545,-1.4588471384366515,0.3533930526864424,0.316133930198911,0.23761074150447312
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,cross,3,hinge,2,0,140,20,78,280,40,780,31,11,0.7153846153846154,2.370053291320801,7.709496021270752,-1.8572475596560079,0.5007662560528843,0.4873270934187307,0.36569586038796076
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,cross,3,hinge,2,1,140,20,78,280,40,780,33,13,0.717948717948718,2.5791053771972656,8.675700187683105,-2.338158581372744,0.4832390145165846,0.48485968558225806,0.3654036600771674
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,beauty,cross,3,hinge,2,2,140,20,78,280,40,780,53,33,0.7461538461538462,2.111646890640259,5.936707973480225,-1.443109798397645,0.5825244596035191,0.5505638099174501,0.4170103547773111
